"year","country","region","religion","population"
2010,Anguilla,Latin America-Caribbean,Christianity,10000.0
2010,Anguilla,Latin America-Caribbean,Islam,0.0
2010,Anguilla,Latin America-Caribbean,Unaffiliated Religions,0.0
2010,Anguilla,Latin America-Caribbean,Hinduism,0.0
2010,Anguilla,Latin America-Caribbean,Buddhism,0.0
2010,Anguilla,Latin America-Caribbean,Folk Religions,0.0
2010,Anguilla,Latin America-Caribbean,Other Religions,0.0
2010,Anguilla,Latin America-Caribbean,Judaism,0.0
2010,Antigua and Barbuda,Latin America-Caribbean,Christianity,80000.0
2010,Antigua and Barbuda,Latin America-Caribbean,Islam,0.0
2010,Antigua and Barbuda,Latin America-Caribbean,Unaffiliated Religions,0.0
2010,Antigua and Barbuda,Latin America-Caribbean,Hinduism,0.0
2010,Antigua and Barbuda,Latin America-Caribbean,Buddhism,0.0
2010,Antigua and Barbuda,Latin America-Caribbean,Folk Religions,0.0
2010,Antigua and Barbuda,Latin America-Caribbean,Other Religions,0.0
2010,Antigua and Barbuda,Latin America-Caribbean,Judaism,0.0
2010,Argentina,Latin America-Caribbean,Christianity,34420000
2010,Argentina,Latin America-Caribbean,Islam,400000.0
2010,Argentina,Latin America-Caribbean,Unaffiliated Religions,4920000.0
2010,Argentina,Latin America-Caribbean,Hinduism,0.0
2010,Argentina,Latin America-Caribbean,Buddhism,20000.0
2010,Argentina,Latin America-Caribbean,Folk Religions,330000.0
2010,Argentina,Latin America-Caribbean,Other Religions,120000.0
2010,Argentina,Latin America-Caribbean,Judaism,200000.0
2010,Armenia,Asia-Pacific,Christianity,3050000.0
2010,Armenia,Asia-Pacific,Islam,0.0
2010,Armenia,Asia-Pacific,Unaffiliated Religions,40000.0
2010,Armenia,Asia-Pacific,Hinduism,0.0
2010,Armenia,Asia-Pacific,Buddhism,0.0
2010,Armenia,Asia-Pacific,Folk Religions,0.0
2010,Armenia,Asia-Pacific,Other Religions,0.0
2010,Armenia,Asia-Pacific,Judaism,0.0
2010,Aruba,Latin America-Caribbean,Christianity,100000.0
2010,Aruba,Latin America-Caribbean,Islam,0.0
2010,Aruba,Latin America-Caribbean,Unaffiliated Religions,0.0
2010,Aruba,Latin America-Caribbean,Hinduism,0.0
2010,Aruba,Latin America-Caribbean,Buddhism,0.0
2010,Aruba,Latin America-Caribbean,Folk Religions,0.0
2010,Aruba,Latin America-Caribbean,Other Religions,0.0
2010,Aruba,Latin America-Caribbean,Judaism,0.0
2010,Australia,Asia-Pacific,Christianity,14980000
2010,Australia,Asia-Pacific,Islam,540000.0
2010,Australia,Asia-Pacific,Unaffiliated Religions,5390000.0
2010,Australia,Asia-Pacific,Hinduism,310000.0
2010,Australia,Asia-Pacific,Buddhism,600000.0
2010,Australia,Asia-Pacific,Folk Religions,150000.0
2010,Australia,Asia-Pacific,Other Religions,180000.0
2010,Australia,Asia-Pacific,Judaism,110000.0
2010,Austria,Europe,Christianity,6750000.0
2010,Austria,Europe,Islam,450000.0
2010,Austria,Europe,Unaffiliated Religions,1130000.0
2010,Austria,Europe,Hinduism,0.0
2010,Austria,Europe,Buddhism,20000.0
2010,Austria,Europe,Folk Religions,0.0
2010,Austria,Europe,Other Religions,10000.0
2010,Austria,Europe,Judaism,10000.0
2010,Azerbaijan,Asia-Pacific,Christianity,280000.0
2010,Azerbaijan,Asia-Pacific,Islam,8900000.0
2010,Azerbaijan,Asia-Pacific,Unaffiliated Religions,0.0
2010,Azerbaijan,Asia-Pacific,Hinduism,0.0
2010,Azerbaijan,Asia-Pacific,Buddhism,0.0
2010,Azerbaijan,Asia-Pacific,Folk Religions,0.0
2010,Azerbaijan,Asia-Pacific,Other Religions,0.0
2010,Azerbaijan,Asia-Pacific,Judaism,0.0
2010,Bahamas,Latin America-Caribbean,Christianity,330000.0
2010,Bahamas,Latin America-Caribbean,Islam,0.0
2010,Bahamas,Latin America-Caribbean,Unaffiliated Religions,10000.0
2010,Bahamas,Latin America-Caribbean,Hinduism,0.0
2010,Bahamas,Latin America-Caribbean,Buddhism,0.0
2010,Bahamas,Latin America-Caribbean,Folk Religions,0.0
2010,Bahamas,Latin America-Caribbean,Other Religions,0.0
2010,Bahamas,Latin America-Caribbean,Judaism,0.0
2010,Bahrain,Middle East-North Africa,Christianity,180000.0
2010,Bahrain,Middle East-North Africa,Islam,890000.0
2010,Bahrain,Middle East-North Africa,Unaffiliated Religions,20000.0
2010,Bahrain,Middle East-North Africa,Hinduism,120000.0
2010,Bahrain,Middle East-North Africa,Buddhism,30000.0
2010,Bahrain,Middle East-North Africa,Folk Religions,0.0
2010,Bahrain,Middle East-North Africa,Other Religions,0.0
2010,Bahrain,Middle East-North Africa,Judaism,0.0
2010,Bangladesh,Asia-Pacific,Christianity,450000.0
2010,Bangladesh,Asia-Pacific,Islam,134430000
2010,Bangladesh,Asia-Pacific,Unaffiliated Religions,0.0
2010,Bangladesh,Asia-Pacific,Hinduism,12680000
2010,Bangladesh,Asia-Pacific,Buddhism,920000.0
2010,Bangladesh,Asia-Pacific,Folk Religions,100000.0
2010,Bangladesh,Asia-Pacific,Other Religions,100000.0
2010,Bangladesh,Asia-Pacific,Judaism,0.0
2010,Barbados,Latin America-Caribbean,Christianity,260000.0
2010,Barbados,Latin America-Caribbean,Islam,0.0
2010,Barbados,Latin America-Caribbean,Unaffiliated Religions,0.0
2010,Barbados,Latin America-Caribbean,Hinduism,0.0
2010,Barbados,Latin America-Caribbean,Buddhism,0.0
2010,Barbados,Latin America-Caribbean,Folk Religions,0.0
2010,Barbados,Latin America-Caribbean,Other Religions,0.0
2010,Barbados,Latin America-Caribbean,Judaism,0.0
2010,Belarus,Europe,Christianity,6830000.0
2010,Belarus,Europe,Islam,20000.0
2010,Belarus,Europe,Unaffiliated Religions,2740000.0
2010,Belarus,Europe,Hinduism,0.0
2010,Belarus,Europe,Buddhism,0.0
2010,Belarus,Europe,Folk Religions,0.0
2010,Belarus,Europe,Other Religions,0.0
2010,Belarus,Europe,Judaism,0.0
2010,Belgium,Europe,Christianity,6880000.0
2010,Belgium,Europe,Islam,630000.0
2010,Belgium,Europe,Unaffiliated Religions,3110000.0
2010,Belgium,Europe,Hinduism,0.0
2010,Belgium,Europe,Buddhism,30000.0
2010,Belgium,Europe,Folk Religions,20000.0
2010,Belgium,Europe,Other Religions,10000.0
2010,Belgium,Europe,Judaism,30000.0
2010,Belize,Latin America-Caribbean,Christianity,270000.0
2010,Belize,Latin America-Caribbean,Islam,0.0
2010,Belize,Latin America-Caribbean,Unaffiliated Religions,30000.0
2010,Belize,Latin America-Caribbean,Hinduism,0.0
2010,Belize,Latin America-Caribbean,Buddhism,0.0
2010,Belize,Latin America-Caribbean,Folk Religions,0.0
2010,Belize,Latin America-Caribbean,Other Religions,0.0
2010,Belize,Latin America-Caribbean,Judaism,0.0
2010,Benin,Sub-Saharan Africa,Christianity,4690000.0
2010,Benin,Sub-Saharan Africa,Islam,2110000.0
2010,Benin,Sub-Saharan Africa,Unaffiliated Religions,450000.0
2010,Benin,Sub-Saharan Africa,Hinduism,0.0
2010,Benin,Sub-Saharan Africa,Buddhism,0.0
2010,Benin,Sub-Saharan Africa,Folk Religions,1600000.0
2010,Benin,Sub-Saharan Africa,Other Religions,0.0
2010,Benin,Sub-Saharan Africa,Judaism,0.0
2010,Bermuda,North America,Christianity,50000.0
2010,Bermuda,North America,Islam,0.0
2010,Bermuda,North America,Unaffiliated Religions,10000.0
2010,Bermuda,North America,Hinduism,0.0
2010,Bermuda,North America,Buddhism,0.0
2010,Bermuda,North America,Folk Religions,0.0
2010,Bermuda,North America,Other Religions,0.0
2010,Bermuda,North America,Judaism,0.0
2010,Bhutan,Asia-Pacific,Christianity,0.0
2010,Bhutan,Asia-Pacific,Islam,0.0
2010,Bhutan,Asia-Pacific,Unaffiliated Religions,0.0
2010,Bhutan,Asia-Pacific,Hinduism,160000.0
2010,Bhutan,Asia-Pacific,Buddhism,540000.0
2010,Bhutan,Asia-Pacific,Folk Religions,10000.0
2010,Bhutan,Asia-Pacific,Other Religions,0.0
2010,Bhutan,Asia-Pacific,Judaism,0.0
2010,Bolivia,Latin America-Caribbean,Christianity,9330000.0
2010,Bolivia,Latin America-Caribbean,Islam,0.0
2010,Bolivia,Latin America-Caribbean,Unaffiliated Religions,400000.0
2010,Bolivia,Latin America-Caribbean,Hinduism,0.0
2010,Bolivia,Latin America-Caribbean,Buddhism,0.0
2010,Bolivia,Latin America-Caribbean,Folk Religions,90000.0
2010,Bolivia,Latin America-Caribbean,Other Religions,100000.0
2010,Bolivia,Latin America-Caribbean,Judaism,0.0
2010,Bosnia and Herzegovina,Europe,Christianity,1970000.0
2010,Bosnia and Herzegovina,Europe,Islam,1700000.0
2010,Bosnia and Herzegovina,Europe,Unaffiliated Religions,90000.0
2010,Bosnia and Herzegovina,Europe,Hinduism,0.0
2010,Bosnia and Herzegovina,Europe,Buddhism,0.0
2010,Bosnia and Herzegovina,Europe,Folk Religions,0.0
2010,Bosnia and Herzegovina,Europe,Other Religions,0.0
2010,Bosnia and Herzegovina,Europe,Judaism,0.0
2010,Botswana,Sub-Saharan Africa,Christianity,1450000.0
2010,Botswana,Sub-Saharan Africa,Islam,0.0
2010,Botswana,Sub-Saharan Africa,Unaffiliated Religions,410000.0
2010,Botswana,Sub-Saharan Africa,Hinduism,0.0
2010,Botswana,Sub-Saharan Africa,Buddhism,0.0
2010,Botswana,Sub-Saharan Africa,Folk Religions,120000.0
2010,Botswana,Sub-Saharan Africa,Other Religions,10000.0
2010,Botswana,Sub-Saharan Africa,Judaism,0.0
2010,Brazil,Latin America-Caribbean,Christianity,173300000
2010,Brazil,Latin America-Caribbean,Islam,40000.0
2010,Brazil,Latin America-Caribbean,Unaffiliated Religions,15410000
2010,Brazil,Latin America-Caribbean,Hinduism,0.0
2010,Brazil,Latin America-Caribbean,Buddhism,250000.0
2010,Brazil,Latin America-Caribbean,Folk Religions,5540000.0
2010,Brazil,Latin America-Caribbean,Other Religions,300000.0
2010,Brazil,Latin America-Caribbean,Judaism,110000.0
2010,British Virgin Islands,Latin America-Caribbean,Christianity,20000.0
2010,British Virgin Islands,Latin America-Caribbean,Islam,0.0
2010,British Virgin Islands,Latin America-Caribbean,Unaffiliated Religions,0.0
2010,British Virgin Islands,Latin America-Caribbean,Hinduism,0.0
2010,British Virgin Islands,Latin America-Caribbean,Buddhism,0.0
2010,British Virgin Islands,Latin America-Caribbean,Folk Religions,0.0
2010,British Virgin Islands,Latin America-Caribbean,Other Religions,0.0
2010,British Virgin Islands,Latin America-Caribbean,Judaism,0.0
2010,Brunei,Asia-Pacific,Christianity,40000.0
2010,Brunei,Asia-Pacific,Islam,300000.0
2010,Brunei,Asia-Pacific,Unaffiliated Religions,0.0
2010,Brunei,Asia-Pacific,Hinduism,0.0
2010,Brunei,Asia-Pacific,Buddhism,30000.0
2010,Brunei,Asia-Pacific,Folk Religions,20000.0
2010,Brunei,Asia-Pacific,Other Religions,0.0
2010,Brunei,Asia-Pacific,Judaism,0.0
2010,Bulgaria,Europe,Christianity,6150000.0
2010,Bulgaria,Europe,Islam,1020000.0
2010,Bulgaria,Europe,Unaffiliated Religions,310000.0
2010,Bulgaria,Europe,Hinduism,0.0
2010,Bulgaria,Europe,Buddhism,0.0
2010,Bulgaria,Europe,Folk Religions,0.0
2010,Bulgaria,Europe,Other Religions,0.0
2010,Bulgaria,Europe,Judaism,0.0
2010,Burkina Faso,Sub-Saharan Africa,Christianity,3710000.0
2010,Burkina Faso,Sub-Saharan Africa,Islam,10150000
2010,Burkina Faso,Sub-Saharan Africa,Unaffiliated Religions,70000.0
2010,Burkina Faso,Sub-Saharan Africa,Hinduism,0.0
2010,Burkina Faso,Sub-Saharan Africa,Buddhism,0.0
2010,Burkina Faso,Sub-Saharan Africa,Folk Religions,2530000.0
2010,Burkina Faso,Sub-Saharan Africa,Other Religions,0.0
2010,Burkina Faso,Sub-Saharan Africa,Judaism,0.0
2010,Burundi,Sub-Saharan Africa,Christianity,7670000.0
2010,Burundi,Sub-Saharan Africa,Islam,230000.0
2010,Burundi,Sub-Saharan Africa,Unaffiliated Religions,0.0
2010,Burundi,Sub-Saharan Africa,Hinduism,0.0
2010,Burundi,Sub-Saharan Africa,Buddhism,0.0
2010,Burundi,Sub-Saharan Africa,Folk Religions,480000.0
2010,Burundi,Sub-Saharan Africa,Other Religions,0.0
2010,Burundi,Sub-Saharan Africa,Judaism,0.0
2010,Cambodia,Asia-Pacific,Christianity,50000.0
2010,Cambodia,Asia-Pacific,Islam,280000.0
2010,Cambodia,Asia-Pacific,Unaffiliated Religions,30000.0
2010,Cambodia,Asia-Pacific,Hinduism,0.0
2010,Cambodia,Asia-Pacific,Buddhism,13690000
2010,Cambodia,Asia-Pacific,Folk Religions,80000.0
2010,Cambodia,Asia-Pacific,Other Religions,0.0
2010,Cambodia,Asia-Pacific,Judaism,0.0
2010,Cameroon,Sub-Saharan Africa,Christianity,13780000
2010,Cameroon,Sub-Saharan Africa,Islam,3590000.0
2010,Cameroon,Sub-Saharan Africa,Unaffiliated Religions,1050000.0
2010,Cameroon,Sub-Saharan Africa,Hinduism,0.0
2010,Cameroon,Sub-Saharan Africa,Buddhism,0.0
2010,Cameroon,Sub-Saharan Africa,Folk Religions,650000.0
2010,Cameroon,Sub-Saharan Africa,Other Religions,530000.0
2010,Cameroon,Sub-Saharan Africa,Judaism,0.0
2010,Canada,North America,Christianity,23470000
2010,Canada,North America,Islam,710000.0
2010,Canada,North America,Unaffiliated Religions,8050000.0
2010,Canada,North America,Hinduism,470000.0
2010,Canada,North America,Buddhism,280000.0
2010,Canada,North America,Folk Religions,390000.0
2010,Canada,North America,Other Religions,300000.0
2010,Canada,North America,Judaism,350000.0
2010,Cape Verde,Sub-Saharan Africa,Christianity,440000.0
2010,Cape Verde,Sub-Saharan Africa,Islam,0.0
2010,Cape Verde,Sub-Saharan Africa,Unaffiliated Religions,50000.0
2010,Cape Verde,Sub-Saharan Africa,Hinduism,0.0
2010,Cape Verde,Sub-Saharan Africa,Buddhism,0.0
2010,Cape Verde,Sub-Saharan Africa,Folk Religions,0.0
2010,Cape Verde,Sub-Saharan Africa,Other Religions,0.0
2010,Cape Verde,Sub-Saharan Africa,Judaism,0.0
2010,Cayman Islands,Latin America-Caribbean,Christianity,50000.0
2010,Cayman Islands,Latin America-Caribbean,Islam,0.0
2010,Cayman Islands,Latin America-Caribbean,Unaffiliated Religions,0.0
2010,Cayman Islands,Latin America-Caribbean,Hinduism,0.0
2010,Cayman Islands,Latin America-Caribbean,Buddhism,0.0
2010,Cayman Islands,Latin America-Caribbean,Folk Religions,0.0
2010,Cayman Islands,Latin America-Caribbean,Other Religions,0.0
2010,Cayman Islands,Latin America-Caribbean,Judaism,0.0
2010,Central African Republic,Sub-Saharan Africa,Christianity,3940000.0
2010,Central African Republic,Sub-Saharan Africa,Islam,370000.0
2010,Central African Republic,Sub-Saharan Africa,Unaffiliated Religions,40000.0
2010,Central African Republic,Sub-Saharan Africa,Hinduism,0.0
2010,Central African Republic,Sub-Saharan Africa,Buddhism,0.0
2010,Central African Republic,Sub-Saharan Africa,Folk Religions,40000.0
2010,Central African Republic,Sub-Saharan Africa,Other Religions,0.0
2010,Central African Republic,Sub-Saharan Africa,Judaism,0.0
2010,Chad,Sub-Saharan Africa,Christianity,4560000.0
2010,Chad,Sub-Saharan Africa,Islam,6210000.0
2010,Chad,Sub-Saharan Africa,Unaffiliated Religions,280000.0
2010,Chad,Sub-Saharan Africa,Hinduism,0.0
2010,Chad,Sub-Saharan Africa,Buddhism,0.0
2010,Chad,Sub-Saharan Africa,Folk Religions,160000.0
2010,Chad,Sub-Saharan Africa,Other Religions,20000.0
2010,Chad,Sub-Saharan Africa,Judaism,0.0
2010,Channel Islands,Europe,Christianity,130000.0
2010,Channel Islands,Europe,Islam,0.0
2010,Channel Islands,Europe,Unaffiliated Religions,20000.0
2010,Channel Islands,Europe,Hinduism,0.0
2010,Channel Islands,Europe,Buddhism,0.0
2010,Channel Islands,Europe,Folk Religions,0.0
2010,Channel Islands,Europe,Other Religions,0.0
2010,Channel Islands,Europe,Judaism,0.0
2010,Chile,Latin America-Caribbean,Christianity,15300000
2010,Chile,Latin America-Caribbean,Islam,0.0
2010,Chile,Latin America-Caribbean,Unaffiliated Religions,1470000.0
2010,Chile,Latin America-Caribbean,Hinduism,0.0
2010,Chile,Latin America-Caribbean,Buddhism,10000.0
2010,Chile,Latin America-Caribbean,Folk Religions,260000.0
2010,Chile,Latin America-Caribbean,Other Religions,30000.0
2010,Chile,Latin America-Caribbean,Judaism,20000.0
2010,China,Asia-Pacific,Christianity,68410000
2010,China,Asia-Pacific,Islam,24690000
2010,China,Asia-Pacific,Unaffiliated Religions,700680000
2010,China,Asia-Pacific,Hinduism,20000.0
2010,China,Asia-Pacific,Buddhism,244110000
2010,China,Asia-Pacific,Folk Religions,294300000
2010,China,Asia-Pacific,Other Religions,9080000.0
2010,China,Asia-Pacific,Judaism,0.0
2010,Colombia,Latin America-Caribbean,Christianity,42810000
2010,Colombia,Latin America-Caribbean,Islam,10000.0
2010,Colombia,Latin America-Caribbean,Unaffiliated Religions,3050000.0
2010,Colombia,Latin America-Caribbean,Hinduism,0.0
2010,Colombia,Latin America-Caribbean,Buddhism,0.0
2010,Colombia,Latin America-Caribbean,Folk Religions,370000.0
2010,Colombia,Latin America-Caribbean,Other Religions,40000.0
2010,Colombia,Latin America-Caribbean,Judaism,0.0
2010,Comoros,Sub-Saharan Africa,Christianity,0.0
2010,Comoros,Sub-Saharan Africa,Islam,720000.0
2010,Comoros,Sub-Saharan Africa,Unaffiliated Religions,0.0
2010,Comoros,Sub-Saharan Africa,Hinduism,0.0
2010,Comoros,Sub-Saharan Africa,Buddhism,0.0
2010,Comoros,Sub-Saharan Africa,Folk Religions,0.0
2010,Comoros,Sub-Saharan Africa,Other Religions,0.0
2010,Comoros,Sub-Saharan Africa,Judaism,0.0
2010,Congo,Sub-Saharan Africa,Christianity,3470000.0
2010,Congo,Sub-Saharan Africa,Islam,50000.0
2010,Congo,Sub-Saharan Africa,Unaffiliated Religions,360000.0
2010,Congo,Sub-Saharan Africa,Hinduism,0.0
2010,Congo,Sub-Saharan Africa,Buddhism,0.0
2010,Congo,Sub-Saharan Africa,Folk Religions,110000.0
2010,Congo,Sub-Saharan Africa,Other Religions,40000.0
2010,Congo,Sub-Saharan Africa,Judaism,0.0
2010,The Democratic Republic of Congo,Sub-Saharan Africa,Christianity,63210000
2010,The Democratic Republic of Congo,Sub-Saharan Africa,Islam,970000.0
2010,The Democratic Republic of Congo,Sub-Saharan Africa,Unaffiliated Religions,1170000.0
2010,The Democratic Republic of Congo,Sub-Saharan Africa,Hinduism,30000.0
2010,The Democratic Republic of Congo,Sub-Saharan Africa,Buddhism,0.0
2010,The Democratic Republic of Congo,Sub-Saharan Africa,Folk Religions,490000.0
2010,The Democratic Republic of Congo,Sub-Saharan Africa,Other Religions,100000.0
2010,The Democratic Republic of Congo,Sub-Saharan Africa,Judaism,0.0
2010,Cook Islands,Asia-Pacific,Christianity,20000.0
2010,Cook Islands,Asia-Pacific,Islam,0.0
2010,Cook Islands,Asia-Pacific,Unaffiliated Religions,0.0
2010,Cook Islands,Asia-Pacific,Hinduism,0.0
2010,Cook Islands,Asia-Pacific,Buddhism,0.0
2010,Cook Islands,Asia-Pacific,Folk Religions,0.0
2010,Cook Islands,Asia-Pacific,Other Religions,0.0
2010,Cook Islands,Asia-Pacific,Judaism,0.0
2010,Costa Rica,Latin America-Caribbean,Christianity,4230000.0
2010,Costa Rica,Latin America-Caribbean,Islam,0.0
2010,Costa Rica,Latin America-Caribbean,Unaffiliated Religions,370000.0
2010,Costa Rica,Latin America-Caribbean,Hinduism,0.0
2010,Costa Rica,Latin America-Caribbean,Buddhism,0.0
2010,Costa Rica,Latin America-Caribbean,Folk Religions,40000.0
2010,Costa Rica,Latin America-Caribbean,Other Religions,10000.0
2010,Costa Rica,Latin America-Caribbean,Judaism,0.0
2010,Ivory Coast,Sub-Saharan Africa,Christianity,8710000.0
2010,Ivory Coast,Sub-Saharan Africa,Islam,7390000.0
2010,Ivory Coast,Sub-Saharan Africa,Unaffiliated Religions,1570000.0
2010,Ivory Coast,Sub-Saharan Africa,Hinduism,0.0
2010,Ivory Coast,Sub-Saharan Africa,Buddhism,0.0
2010,Ivory Coast,Sub-Saharan Africa,Folk Religions,2020000.0
2010,Ivory Coast,Sub-Saharan Africa,Other Religions,30000.0
2010,Ivory Coast,Sub-Saharan Africa,Judaism,0.0
2010,Croatia,Europe,Christianity,4110000.0
2010,Croatia,Europe,Islam,60000.0
2010,Croatia,Europe,Unaffiliated Religions,230000.0
2010,Croatia,Europe,Hinduism,0.0
2010,Croatia,Europe,Buddhism,0.0
2010,Croatia,Europe,Folk Religions,0.0
2010,Croatia,Europe,Other Religions,0.0
2010,Croatia,Europe,Judaism,0.0
2010,Cuba,Latin America-Caribbean,Christianity,6670000.0
2010,Cuba,Latin America-Caribbean,Islam,0.0
2010,Cuba,Latin America-Caribbean,Unaffiliated Religions,2590000.0
2010,Cuba,Latin America-Caribbean,Hinduism,20000.0
2010,Cuba,Latin America-Caribbean,Buddhism,0.0
2010,Cuba,Latin America-Caribbean,Folk Religions,1960000.0
2010,Cuba,Latin America-Caribbean,Other Religions,0.0
2010,Cuba,Latin America-Caribbean,Judaism,0.0
2010,Cyprus,Asia-Pacific,Christianity,810000.0
2010,Cyprus,Asia-Pacific,Islam,280000.0
2010,Cyprus,Asia-Pacific,Unaffiliated Religions,10000.0
2010,Cyprus,Asia-Pacific,Hinduism,0.0
2010,Cyprus,Asia-Pacific,Buddhism,0.0
2010,Cyprus,Asia-Pacific,Folk Religions,0.0
2010,Cyprus,Asia-Pacific,Other Religions,0.0
2010,Cyprus,Asia-Pacific,Judaism,0.0
2010,Czech Republic,Europe,Christianity,2450000.0
2010,Czech Republic,Europe,Islam,0.0
2010,Czech Republic,Europe,Unaffiliated Religions,8020000.0
2010,Czech Republic,Europe,Hinduism,0.0
2010,Czech Republic,Europe,Buddhism,0.0
2010,Czech Republic,Europe,Folk Religions,0.0
2010,Czech Republic,Europe,Other Religions,0.0
2010,Czech Republic,Europe,Judaism,0.0
2010,Denmark,Europe,Christianity,4630000.0
2010,Denmark,Europe,Islam,230000.0
2010,Denmark,Europe,Unaffiliated Religions,650000.0
2010,Denmark,Europe,Hinduism,20000.0
2010,Denmark,Europe,Buddhism,10000.0
2010,Denmark,Europe,Folk Religions,0.0
2010,Denmark,Europe,Other Religions,0.0
2010,Denmark,Europe,Judaism,0.0
2010,Djibouti,Sub-Saharan Africa,Christianity,20000.0
2010,Djibouti,Sub-Saharan Africa,Islam,860000.0
2010,Djibouti,Sub-Saharan Africa,Unaffiliated Religions,0.0
2010,Djibouti,Sub-Saharan Africa,Hinduism,0.0
2010,Djibouti,Sub-Saharan Africa,Buddhism,0.0
2010,Djibouti,Sub-Saharan Africa,Folk Religions,0.0
2010,Djibouti,Sub-Saharan Africa,Other Religions,0.0
2010,Djibouti,Sub-Saharan Africa,Judaism,0.0
2010,Dominica,Latin America-Caribbean,Christianity,70000.0
2010,Dominica,Latin America-Caribbean,Islam,0.0
2010,Dominica,Latin America-Caribbean,Unaffiliated Religions,0.0
2010,Dominica,Latin America-Caribbean,Hinduism,0.0
2010,Dominica,Latin America-Caribbean,Buddhism,0.0
2010,Dominica,Latin America-Caribbean,Folk Religions,0.0
2010,Dominica,Latin America-Caribbean,Other Religions,0.0
2010,Dominica,Latin America-Caribbean,Judaism,0.0
2010,Dominican Republic,Latin America-Caribbean,Christianity,8740000.0
2010,Dominican Republic,Latin America-Caribbean,Islam,0.0
2010,Dominican Republic,Latin America-Caribbean,Unaffiliated Religions,1080000.0
2010,Dominican Republic,Latin America-Caribbean,Hinduism,0.0
2010,Dominican Republic,Latin America-Caribbean,Buddhism,0.0
2010,Dominican Republic,Latin America-Caribbean,Folk Religions,90000.0
2010,Dominican Republic,Latin America-Caribbean,Other Religions,10000.0
2010,Dominican Republic,Latin America-Caribbean,Judaism,0.0
2010,Ecuador,Latin America-Caribbean,Christianity,13610000
2010,Ecuador,Latin America-Caribbean,Islam,0.0
2010,Ecuador,Latin America-Caribbean,Unaffiliated Religions,800000.0
2010,Ecuador,Latin America-Caribbean,Hinduism,0.0
2010,Ecuador,Latin America-Caribbean,Buddhism,0.0
2010,Ecuador,Latin America-Caribbean,Folk Religions,40000.0
2010,Ecuador,Latin America-Caribbean,Other Religions,0.0
2010,Ecuador,Latin America-Caribbean,Judaism,0.0
2010,Egypt,Middle East-North Africa,Christianity,4120000.0
2010,Egypt,Middle East-North Africa,Islam,76990000
2010,Egypt,Middle East-North Africa,Unaffiliated Religions,0.0
2010,Egypt,Middle East-North Africa,Hinduism,0.0
2010,Egypt,Middle East-North Africa,Buddhism,0.0
2010,Egypt,Middle East-North Africa,Folk Religions,0.0
2010,Egypt,Middle East-North Africa,Other Religions,0.0
2010,Egypt,Middle East-North Africa,Judaism,0.0
2010,El Salvador,Latin America-Caribbean,Christianity,5460000.0
2010,El Salvador,Latin America-Caribbean,Islam,0.0
